TEST_DATE_TIME                                     IEZB22
TEST_READ_ISN_MLB                                  IEZB2V
STATION_NAME                                       IEZAC5
ATE_VERSION                                        IEZBOU
BUILD_EVENT                                        IEZB96
FIXTURE_ID                                         IEZB2C
FIXTURE_INDEX                                      IEZB2D
STATION_MODE                                       IEZB29
STATION_MAC                                        IEZB28
LINE_NUMBER                                        IEZB2E
DEVICE_ID                                          IEZB1W
USER_ID                                            IEZB2R
SFIS_LOGIN_DB                                      IEZB2S
SFIS_STATION_INPUT_CHECK                           IEXA9X
PRODUCT_CODE                                       IEZB2F
PRODUCT_CODE_DESC                                  IEAA76
PRODUCT_NAME                                       IEZB2G
PRODUCT_NAME_DESC                                  IEZB2H
PRODUCT_TYPE                                       IEZB2J
PRODUCT_TYPE_DESC                                  IEZB2K
PRODUCT_VERSION                                    IEZB2L
PRODUCT_VERSION_DESC                               IEZB2M
PRODUCT_REVISION                                   IEZB2I
MFG_LOCATION                                       IEZB2N
MFG_LOCATION_DESC                                  IEZB2O
MFG_WW                                             IEZB2P
MFG_YEAR                                           IEZB2Q
TEST_READ_MODEL_MLB                                IEAA6U
TEST_READ_FW_VERSION_MLB                           IEZB2Y
TEST_READ_FACTORY_CONFIG_MLB                       IEZB2X
BUILD_PHASE                                        IEZB2T
STATION_SW_VERSION                                 IEZB2B
TEST_12V_READ_ADC                                  IEZDKV
TEST_C_T1_LOAD_OUTPUT_VOLTAGE                      IEZDKW
TEST_C_T1_LOAD_NEUTRAL_DETECT                      IEZDKX
TEST_C_T1_LOAD_SINK_CURRENT_CVM                    IEZDKY
TEST_C_T1_LOAD_INPUT_POWER_CVM                     IEZDKZ
TEST_C_T1_LOAD_POWER_FACTOR_CVM                    IEZDL1
TEST_C_T1_LOAD_OUTPUT_RIPPLE_CVM                   IEZDL2
TEST_C_T2_LOAD_OUTPUT_VOLTAGE                      IEZDL3
TEST_C_T2_LOAD_SINK_CURRENT_CVM                    IEZDL4
TEST_C_T2_LOAD_INPUT_POWER_CVM                     IEZDL5
TEST_C_T2_LOAD_POWER_FACTOR_CVM                    IEZDL6
TEST_C_T2_LOAD_OUTPUT_RIPPLE_CVM                   IEZDL7
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_VOLTAGE              IEZDL8
TEST_C_T1_LOAD_NEUTRAL_CEMENT_VOLTAGE_DIMMER_0     IEZDT4
TEST_C_T1_LOAD_NEUTRAL_INPUT_POWER_0MA             IEZDLA
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_VOLTAGE_150MA        IEZDLB
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_RIPPLE_150MA         IEZDLC
TEST_C_T1_LOAD_NEUTRAL_POWER_FACTOR_150MA          IEZDLD
TEST_C_T1_LOAD_NEUTRAL_EFFICIENCY_150MA            IEZDLE
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_VOLTAGE_500MA        IEZDLF
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_RIPPLE_500MA         IEZDLG
TEST_C_T1_LOAD_NEUTRAL_POWER_FACTOR_500MA          IEZDLH
TEST_C_T1_LOAD_NEUTRAL_EFFICIENCY_500MA            IEZDLI
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_VOLTAGE_0MA          IEZDLJ
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_RIPPLE_0MA           IEZDLK
TEST_C_T1_LOAD_NEITRAL_SINK_CURRENT_OCP_CVM        IEZDLL
TEST_C_T1_LOAD_NEUTRAL_INPUT_POWER_OCP_CVM         IEZDLM
TEST_C_T1_LOAD_NEUTRAL_POWER_FACTOR_OCP_CVM        IEZDLN
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_RIPPLE_OCP_CVM       IEZDLO
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_VOLTAGE_SCP          IEZDLP
TEST_C_T1_LOAD_NEUTRAL_OUTPUT_VOLTAGE_REMOVE_SCP   IEZDLQ
TEST_C_T1_LOAD_NEUTRAL_CEMENT_POWER_DIMMER_50      IEZDLR
TEST_C_T1_LOAD_NEUTRAL_3WAY_STATE_RELAY_SET_DIMMER_50_FIRST_C IEZDLS
TEST_C_T1_LOAD_NEUTRAL_3WAY_STATE_RELAY_SET_DIMMER_50_FIRST_T1 IEZDLT
TEST_C_T1_LOAD_NEUTRAL_3WAY_STATE_RELAY_SET_DIMMER_50_FIRST_T2 IEZDLU
